iso3_r250_id,iso3_r250_label,iso3_r250_name,forestry_gep
380,ITA,Italy,627067776
528,NLD,Netherlands,11831029
732,ESH,Western Sahara,
192,CUB,Cuba,39785000
504,MAR,Morocco,29784328
376,ISR,Israel,110621.2578
716,ZWE,Zimbabwe,241225520
540,NCL,New Caledonia,4467641.5
663,MAF,Saint-Martin,
352,ISL,Iceland,
446,MAC,"China, Macao Special Administrative Region",
634,QAT,Qatar,
703,SVK,Slovakia,41498452
410,KOR,South Korea,132478336
414,KWT,Kuwait,
705,SVN,Slovenia,28174420
764,THA,Thailand,1273782016
704,VNM,Vietnam,2164890624
512,OMN,Oman,
175,MYT,Mayotte,
458,MYS,Malaysia,1400088704
96,BRN,Brunei,1638950.875
674,SMR,San Marino,4731.729004
226,GNQ,Equatorial Guinea,18626014
686,SEN,Senegal,9536915
862,VEN,Venezuela,105059024
52,BRB,Barbados,
76,BRA,Brazil,4897468416
768,TGO,Togo,24059866
616,POL,Poland,188461392
740,SUR,Suriname,1648150.625
238,FLK,Falkland Islands,
24,AGO,Angola,1278575232
834,TZA,Tanzania,834402560
368,IRQ,Iraq,1533255.625
804,UKR,Ukraine,160513920
584,MHL,Marshall Islands,
232,ERI,Eritrea,231647.9219
776,TON,Tonga,14821.2168
364,IRN,Iran,3606248.25
166,CCK,Cocos Islands,
520,NRU,Nauru,
548,VUT,Vanuatu,505090
70,BIH,Bosnia and Herzegovina,53568188
624,GNB,Guinea-Bissau,11289222
372,IRL,Ireland,50557584
158,TWN,Taiwan,
268,GEO,Georgia,28756690
214,DOM,Dominican Republic,27898992
729,SDN,Sudan,13029648
894,ZMB,Zambia,573419392
598,PNG,Papua New Guinea,109206712
222,SLV,El Salvador,14043526
840,USA,United States,18121365504
659,KNA,Saint Kitts and Nevis,
554,NZL,New Zealand,402211264
428,LVA,Latvia,30268808
583,FSM,Micronesia,
678,STP,São Tomé and Príncipe,78230.9375
328,GUY,Guyana,3500650.5
570,NIU,Niue,
508,MOZ,Mozambique,725430592
516,NAM,Namibia,12290472
858,URY,Uruguay,452365.4063
404,KEN,Kenya,154592672
316,GUM,Guam,
442,LUX,Luxembourg,61768
90,SLB,Solomon Islands,5002597.5
4,AFG,Afghanistan,2499461.75
44,BHS,Bahamas,5257842.5
48,BHR,Bahrain,
254,GUF,French Guiana,656801.875
694,SLE,Sierra Leone,39154212
270,GMB,Gambia,1428998.625
604,PER,Peru,124400720
670,VCT,Saint Vincent and the Grenadines,
20,AND,Andorra,18721.72656
558,NIC,Nicaragua,32987520
208,DNK,Denmark,32667102
188,CRI,Costa Rica,12961267
454,MWI,Malawi,43606132
312,GLP,Guadeloupe,
124,CAN,Canada,1285444096
242,FJI,Fiji,7118267
818,EGY,Egypt,
792,TUR,Turkey,280266656
860,UZB,Uzbekistan,96289.11719
384,CIV,Côte d'lvoire,62598788
320,GTM,Guatemala,26472548
234,FRO,Faroe Islands,
798,TUV,Tuvalu,
140,CAF,Central African Republic,329492544
276,DEU,Germany,620223168
100,BGR,Bulgaria,21886788
580,MNP,Northern Mariana Islands,
40,AUT,Austria,209795952
36,AUS,Australia,1255718528
788,TUN,Tunisia,5946016
340,HND,Honduras,66394992
68,BOL,Bolivia,36904176
50,BGD,Bangladesh,17511216
440,LTU,Lithuania,41657056
585,PLW,Palau,6890.288574
250,FRA,France,787938304
728,SSD,South Sudan,74761472
524,NPL,Nepal,163947536
484,MEX,Mexico,459589120
246,FIN,Finland,1109760000
496,MNG,Mongolia,57716820
388,JAM,Jamaica,
499,MNE,Montenegro,18195720
212,DMA,Dominica,
626,TLS,Timor-Leste,27875716
744,SJM,Svalbard and Jan Mayen,
86,IOT,British Indian Ocean Territory,
780,TTO,Trinidad and Tobago,
334,HMD,Heard Island and McDonald Island,
682,SAU,Saudi Arabia,
348,HUN,Hungary,23967582
104,MMR,Myanmar,867297856
132,CPV,Cabo Verde,
156,CHN,China,29079203840
826,GBR,United Kingdom,73509344
152,CHL,Chile,1714302976
876,WLF,Wallis and Futuna,
72,BWA,Botswana,198885.3438
426,LSO,Lesotho,530416
578,NOR,Norway,367364160
74,BVT,Bouvet Island,
612,PCN,Pitcairn Islands,
336,VAT,Vatican City,
756,CHE,Switzerland,69878760
8,ALB,Albania,16505806
566,NGA,Nigeria,329295552
