iso3_r250_id,iso3_r250_label,iso3_r250_name,phosphorus_gep
380,ITA,Italy,6934858641
528,NLD,Netherlands,NA
732,ESH,Western Sahara,191619491.9
192,CUB,Cuba,446358810.6
504,MAR,Morocco,153552053.5
376,ISR,Israel,598678243.7
716,ZWE,Zimbabwe,139946818.6
540,NCL,New Caledonia,295568166.9
663,MAF,Saint-Martin,NA
352,ISL,Iceland,NA
446,MAC,"China, Macao Special Administrative Region",676345.4203
634,QAT,Qatar,49574935.18
703,SVK,Slovakia,1644127251
410,KOR,South Korea,1233040661
414,KWT,Kuwait,12929333.04
705,SVN,Slovenia,247426996.3
764,THA,Thailand,396127640.9
704,VNM,Vietnam,427473187.7
512,OMN,Oman,58502417.08
175,MYT,Mayotte,1011370.903
458,MYS,Malaysia,1301363515
96,BRN,Brunei,48104460.18
674,SMR,San Marino,2402626.676
226,GNQ,Equatorial Guinea,193430065.9
686,SEN,Senegal,33049509.33
862,VEN,Venezuela,4565994038
52,BRB,Barbados,3712539.795
76,BRA,Brazil,23189580942
768,TGO,Togo,54677653.84
616,POL,Poland,269219726.1
740,SUR,Suriname,89263755.2
238,FLK,Falkland Islands,0
24,AGO,Angola,915943565
834,TZA,Tanzania,110866267.4
368,IRQ,Iraq,148755796.4
804,UKR,Ukraine,2073541181
584,MHL,Marshall Islands,NA
232,ERI,Eritrea,123094195.8
776,TON,Tonga,NA
364,IRN,Iran,2179704547
166,CCK,Cocos Islands,NA
520,NRU,Nauru,NA
548,VUT,Vanuatu,13125803.35
70,BIH,Bosnia and Herzegovina,193472931.5
624,GNB,Guinea-Bissau,7439922.758
372,IRL,Ireland,0
158,TWN,Taiwan,257765198.5
268,GEO,Georgia,376384921.4
214,DOM,Dominican Republic,42619557.38
729,SDN,Sudan,33060373.97
894,ZMB,Zambia,214841717.1
598,PNG,Papua New Guinea,849033968.1
222,SLV,El Salvador,44525246.69
840,USA,United States,1.06404E+11
659,KNA,Saint Kitts and Nevis,809000.7088
554,NZL,New Zealand,1613950283
428,LVA,Latvia,0
583,FSM,Micronesia,213876.993
678,STP,São Tomé and Príncipe,456240.1
328,GUY,Guyana,64180629.13
570,NIU,Niue,NA
508,MOZ,Mozambique,119121773.6
516,NAM,Namibia,743743037.9
858,URY,Uruguay,495956506
404,KEN,Kenya,178926259
316,GUM,Guam,8991515.151
442,LUX,Luxembourg,177540404.2
90,SLB,Solomon Islands,11259669.96
4,AFG,Afghanistan,2820745.345
44,BHS,Bahamas,35935776.58
48,BHR,Bahrain,2537217.857
254,GUF,French Guiana,403153184.5
694,SLE,Sierra Leone,143071840.3
270,GMB,Gambia,7227264.659
604,PER,Peru,607048942.5
670,VCT,Saint Vincent and the Grenadines,506143.9714
20,AND,Andorra,7166976.445
558,NIC,Nicaragua,55864147.43
208,DNK,Denmark,0
188,CRI,Costa Rica,217642120.2
454,MWI,Malawi,8958452.06
312,GLP,Guadeloupe,8746837.146
124,CAN,Canada,16546727831
242,FJI,Fiji,26414530.6
818,EGY,Egypt,139334315.7
792,TUR,Turkey,3809373744
860,UZB,Uzbekistan,298977666.9
384,CIV,Côte d'lvoire,299942572.8
320,GTM,Guatemala,184860231.6
234,FRO,Faroe Islands,NA
798,TUV,Tuvalu,NA
140,CAF,Central African Republic,252423713.5
276,DEU,Germany,6512553257
100,BGR,Bulgaria,585823279.9
580,MNP,Northern Mariana Islands,353948.3317
40,AUT,Austria,1986984066
36,AUS,Australia,48766679057
788,TUN,Tunisia,211987157
340,HND,Honduras,74535321.19
68,BOL,Bolivia,833484438.6
50,BGD,Bangladesh,78111266.46
440,LTU,Lithuania,0
585,PLW,Palau,1572374.663
250,FRA,France,12588296057
728,SSD,South Sudan,1856672310
524,NPL,Nepal,4687997.283
484,MEX,Mexico,2602399389
246,FIN,Finland,0
496,MNG,Mongolia,636943878.5
388,JAM,Jamaica,24064414.45
499,MNE,Montenegro,14707437.87
212,DMA,Dominica,1994427.804
626,TLS,Timor-Leste,9430383.031
744,SJM,Svalbard and Jan Mayen,NA
86,IOT,British Indian Ocean Territory,NA
780,TTO,Trinidad and Tobago,24128218.42
334,HMD,Heard Island and McDonald Island,NA
682,SAU,Saudi Arabia,1269499977
348,HUN,Hungary,786842180.8
104,MMR,Myanmar,151730322.2
132,CPV,Cabo Verde,NA
156,CHN,China,24658281494
826,GBR,United Kingdom,2952661.735
152,CHL,Chile,291097030.7
876,WLF,Wallis and Futuna,NA
72,BWA,Botswana,789273972.2
426,LSO,Lesotho,19426519.95
578,NOR,Norway,NA
74,BVT,Bouvet Island,NA
612,PCN,Pitcairn Islands,NA
336,VAT,Vatican City,NA
756,CHE,Switzerland,3701577997
8,ALB,Albania,357607356.3
566,NGA,Nigeria,1672792333
642,ROU,Romania,1809816805
144,LKA,Sri Lanka,24965755.66
688,SRB,Serbia,477723287
480,MUS,Mauritius,NA
462,MDV,Maldives,NA
854,BFA,Burkina Faso,199479165.2
850,VIR,"Virgin Islands, U.S.",1773870.062
248,ALA,Åland,NA
535,BES,"Bonaire, Sint Eustatius and Saba",570714.2259
796,TCA,Turks and Caicos Islands,2856997.418
28,ATG,Antigua and Barbuda,679792.1003
260,ATF,French Southern Territories,61024.80046
304,GRL,Greenland,0
60,BMU,Bermuda,NA
275,PSE,Palestine,10025802.68
148,TCD,Chad,85137751.09
392,JPN,Japan,5797723793
56,BEL,Belgium,63186903.89
795,TKM,Turkmenistan,61317281.63
800,UGA,Uganda,163627028.5
10,ATA,Antarctica,NA
450,MDG,Madagascar,4689610.322
772,TKL,Tokelau,NA
710,ZAF,South Africa,603762799.7
356,IND,India,1219512550
308,GRD,Grenada,517339.3455
204,BEN,Benin,124495277.2
300,GRC,Greece,1043943115
498,MDA,Moldova,171137551
470,MLT,Malta,5048495.493
760,SYR,Syria,50992927.83
474,MTQ,Martinique,4425747.687
600,PRY,Paraguay,415320071.2
882,WSM,Samoa,NA
203,CZE,Czechia,1800491788
466,MLI,Mali,15986893.93
574,NFK,Norfolk Island,NA
174,COM,Comoros,380300.3787
170,COL,Colombia,1283089575
398,KAZ,Kazakhstan,3645905392
184,COK,Cook Islands,NA
332,HTI,Haiti,2957144.783
620,PRT,Portugal,603315580.6
654,SHN,"Saint Helena, Ascension and Tris",NA
16,ASM,American Samoa,NA
180,COD,Democratic Republic of the Congo,1114660635
266,GAB,Gabon,1273217739
646,RWA,Rwanda,10457796.11
196,CYP,Cyprus,77605639.08
533,ABW,Aruba,352134.0631
324,GIN,Guinea,85772448.21
408,PRK,North Korea,968396729.4
690,SYC,Seychelles,210236.7686
84,BLZ,Belize,-1729204.041
492,MCO,Monaco,NA
833,IMN,Isle of Man,0
136,CYM,Cayman Islands,3561373.646
178,COG,Republic of the Congo,228052015.5
630,PRI,Puerto Rico,90364141.32
666,SPM,Saint Pierre and Miquelon,88225.45294
292,GIB,Gibraltar,NA
112,BLR,Belarus,0
296,KIR,Kiribati,NA
762,TJK,Tajikistan,12009842.2
400,JOR,Jordan,41974214.64
108,BDI,Burundi,942625.2808
562,NER,Niger,21747174.12
662,LCA,Saint Lucia,4025614.481
344,HKG,"China, Hong Kong Special Administrative Region",10222223.4
586,PAK,Pakistan,95265736.37
638,REU,Réunion,NA
534,SXM,Sint Maarten,NA
438,LIE,Liechtenstein,11510370.39
591,PAN,Panama,1012855254
