iso3_r250_id,iso3_r250_label,iso3_r250_name,gep_hydro_cwonresrent_2019usd
533,ABW,Aruba,
4,AFG,Afghanistan,
24,AGO,Angola,1121367842
660,AIA,Anguilla,
248,ALA,Åland,
8,ALB,Albania,216250583
20,AND,Andorra,
784,ARE,United Arab Emirates,
32,ARG,Argentina,660245774
51,ARM,Armenia,22119837
16,ASM,American Samoa,
10,ATA,Antarctica,
260,ATF,French Southern Territories,
28,ATG,Antigua and Barbuda,
36,AUS,Australia,135273911
40,AUT,Austria,1211549404
31,AZE,Azerbaijan,
108,BDI,Burundi,14375022
56,BEL,Belgium,11124158
204,BEN,Benin,
535,BES,"Bonaire, Sint Eustatius and Saba",
854,BFA,Burkina Faso,9773504
50,BGD,Bangladesh,36774229
100,BGR,Bulgaria,
48,BHR,Bahrain,
44,BHS,Bahamas,
70,BIH,Bosnia and Herzegovina,212052952
652,BLM,Saint Barthélemy,
112,BLR,Belarus,
84,BLZ,Belize,7807479
60,BMU,Bermuda,
68,BOL,Bolivia,31350897
76,BRA,Brazil,28627528422
52,BRB,Barbados,
96,BRN,Brunei,
64,BTN,Bhutan,
74,BVT,Bouvet Island,
72,BWA,Botswana,
140,CAF,Central African Republic,13636421
124,CAN,Canada,18422171277
166,CCK,Cocos Islands,
756,CHE,Switzerland,1690602412
152,CHL,Chile,1629569404
156,CHN,China,31210974958
384,CIV,Côte d'lvoire,279883305
120,CMR,Cameroon,700763966
180,COD,Democratic Republic of the Congo,867460617
178,COG,Republic of the Congo,114475597
184,COK,Cook Islands,
170,COL,Colombia,2099521543
174,COM,Comoros,
132,CPV,Cabo Verde,
188,CRI,Costa Rica,220043951
192,CUB,Cuba,
531,CUW,Curaçao,
162,CXR,Christmas Island,
136,CYM,Cayman Islands,
196,CYP,Cyprus,
203,CZE,Czechia,1864024
276,DEU,Germany,1225179285
262,DJI,Djibouti,
212,DMA,Dominica,
208,DNK,Denmark,
214,DOM,Dominican Republic,
12,DZA,Algeria,
218,ECU,Ecuador,1121357709
818,EGY,Egypt,259655954
232,ERI,Eritrea,
732,ESH,Western Sahara,
724,ESP,Spain,654746791
233,EST,Estonia,
231,ETH,Ethiopia,755105930
246,FIN,Finland,409988594
242,FJI,Fiji,
238,FLK,Falkland Islands,
250,FRA,France,1518529433
234,FRO,Faroe Islands,
583,FSM,Micronesia,
266,GAB,Gabon,48120875
826,GBR,United Kingdom,161006107
268,GEO,Georgia,82509722
831,GGY,Guernsey,
288,GHA,Ghana,965937331
292,GIB,Gibraltar,
324,GIN,Guinea,81159827
312,GLP,Guadeloupe,
270,GMB,Gambia,
624,GNB,Guinea-Bissau,
226,GNQ,Equatorial Guinea,
300,GRC,Greece,
308,GRD,Grenada,
304,GRL,Greenland,
320,GTM,Guatemala,
254,GUF,French Guiana,
316,GUM,Guam,
328,GUY,Guyana,
344,HKG,"China, Hong Kong Special Administrative Region",
334,HMD,Heard Island and McDonald Island,
340,HND,Honduras,43453662
191,HRV,Croatia,50518488
332,HTI,Haiti,
348,HUN,Hungary,
360,IDN,Indonesia,232180211
833,IMN,Isle of Man,
356,IND,India,1261804563
86,IOT,British Indian Ocean Territory,
372,IRL,Ireland,45326002
364,IRN,Iran,296976289
368,IRQ,Iraq,179922194
352,ISL,Iceland,317372330
376,ISR,Israel,
380,ITA,Italy,2141044934
388,JAM,Jamaica,
832,JEY,Jersey,
400,JOR,Jordan,
392,JPN,Japan,7040795333
398,KAZ,Kazakhstan,
404,KEN,Kenya,369067465
417,KGZ,Kyrgyzstan,
116,KHM,Cambodia,69355570
296,KIR,Kiribati,
659,KNA,Saint Kitts and Nevis,
410,KOR,South Korea,21495768
414,KWT,Kuwait,
418,LAO,Laos,320300553
422,LBN,Lebanon,38193803
430,LBR,Liberia,
434,LBY,Libya,
662,LCA,Saint Lucia,
438,LIE,Liechtenstein,
144,LKA,Sri Lanka,113636881
426,LSO,Lesotho,63483944
440,LTU,Lithuania,3949607
442,LUX,Luxembourg,
